feature,importance
avg_store_transactions,4129
day_of_month,3058
oil_price,2785
rolling_mean_7,2588
promo_rate,2378
lag_14,2301
lag_7,2160
rolling_std_28,2001
week_of_year,2001
lag_28,1891
rolling_mean_28,1652
cluster,1257
day_of_week,1140
month,1073
holiday_rate,443
is_month_end,97
is_month_start,46
