fold,train_end_date,eval_end_date,train_mae,eval_mae_max_horizon,mae_gap,train_rmse,eval_rmse_max_horizon,rmse_gap
1,2017-01-31,2017-03-10,653.116943359375,3063.385009765625,2410.26806640625,905.8402099609375,5135.09033203125,4229.2501220703125
2,2017-03-10,2017-04-19,668.20947265625,2833.70947265625,2165.5,928.5458984375,4646.37646484375,3717.83056640625
3,2017-04-19,2017-05-29,684.4522094726562,3242.081298828125,2557.6290893554688,949.0445556640625,6091.4306640625,5142.3861083984375
4,2017-05-29,2017-07-06,702.4228515625,2406.598388671875,1704.175537109375,980.6181030273438,3600.45166015625,2619.8335571289062
5,2017-07-06,2017-08-15,710.6731567382812,2306.53173828125,1595.8585815429688,986.9019165039062,3473.359619140625,2486.4577026367188
