model,horizon_days,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,mape_std
xgboost_cluster_daily,7,2605.8515625,652.2145332523672,4100.172265625,1160.271617813651,5.602805042266846,1.2913082556471314
seasonal_naive_7d,7,5615.913134765625,1573.546150696282,8386.3291015625,2346.9673070680556,11.610958099365234,2.1415171094843375
xgboost_cluster_daily,14,2735.5262939453123,915.1584970968335,4628.901904296875,2216.3233758204883,5.813570117950439,1.3415380133123638
seasonal_naive_7d,14,5848.55068359375,1953.9919528236464,9451.55166015625,4567.946089825108,11.8998872756958,2.88265873917999
xgboost_cluster_daily,28,2817.059619140625,491.4695363943913,4752.223583984375,1301.1751581825743,6.2142258644104,0.7154850834066169
seasonal_naive_7d,28,5624.62509765625,1521.9186110312412,9635.0896484375,3889.222333709796,11.748352241516113,2.4103130635347645
