cluster,model,mae,rmse,mape_pct
16,seasonal_naive_7d,1414.2490234375,1851.8717041015625,13.223618507385254
9,seasonal_naive_7d,1840.8165283203125,2250.40380859375,9.176321029663086
12,seasonal_naive_7d,1870.29248046875,2283.69091796875,13.412906646728516
17,seasonal_naive_7d,2418.446044921875,3180.87939453125,10.331048965454102
7,seasonal_naive_7d,2614.086181640625,3297.955078125,16.142671585083008
2,seasonal_naive_7d,3080.123291015625,3939.4423828125,12.137272834777832
1,seasonal_naive_7d,3741.096923828125,4775.8388671875,9.007184028625488
13,seasonal_naive_7d,4621.328125,6038.24365234375,8.589729309082031
5,seasonal_naive_7d,4903.02392578125,6439.50732421875,10.702801704406738
4,seasonal_naive_7d,5276.33984375,6903.7939453125,14.349015235900879
15,seasonal_naive_7d,5424.71630859375,6530.640625,13.552943229675293
8,seasonal_naive_7d,6507.81298828125,7885.79833984375,8.684694290161133
3,seasonal_naive_7d,7661.2216796875,10445.6435546875,12.083481788635254
11,seasonal_naive_7d,10849.3388671875,13661.6962890625,10.896148681640625
10,seasonal_naive_7d,11019.703125,14848.427734375,13.555826187133789
6,seasonal_naive_7d,15993.1328125,19998.890625,15.850780487060547
14,seasonal_naive_7d,17849.099609375,23007.447265625,15.596057891845703
