trial,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,mae,rmse,mape_pct
0,6,0.01,1.0,0.8,0.5,2501.18603515625,3801.550210111659,5.835698127746582
1,6,0.1,0.6,1.0,2.0,2425.3828125,3624.739852734262,5.621865272521973
2,6,0.1,0.8,0.6,0.5,2310.410888671875,3403.7858334507473,5.45041036605835
3,6,0.01,1.0,1.0,0.5,4399.96826171875,6650.075488293347,11.379749298095703
4,6,0.1,1.0,1.0,2.0,2325.947998046875,3428.6004433296102,5.43490743637085
5,6,0.05,1.0,0.8,0.5,2350.70068359375,3526.559371398701,5.437098026275635
