trial,num_leaves,learning_rate,feature_fraction,bagging_fraction,reg_lambda,mae,rmse,mape_pct
0,63,0.01,1.0,0.8,0.0,2499.3624686705557,3684.782543722305,5.923039606480187
1,63,0.1,0.6,1.0,2.0,2399.7590688930445,3553.158106572063,5.5466137644752544
2,63,0.1,0.8,0.6,0.0,2442.9392813571953,3575.197087639097,5.635654256789398
3,63,0.01,1.0,1.0,0.0,4263.171277705606,6187.852812702328,11.556221341442347
4,63,0.1,1.0,1.0,2.0,2391.829543999201,3640.750504808351,5.574694287667668
5,63,0.05,1.0,0.8,0.0,2489.3814257864387,3717.328333606778,5.784084577162933
