model,horizon_days,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,mape_std
lightgbm_cluster_daily,7,2710.815993699817,763.1455640576709,4174.034285143318,1235.4788598741904,5.807920411549109,1.490662708189958
seasonal_naive_7d,7,5615.913134765625,1573.546150696282,8386.3291015625,2346.9673070680556,11.610958099365234,2.1415171094843375
lightgbm_cluster_daily,14,2888.6033457235926,863.5031590410292,4725.407345830862,1865.2060465223403,6.219533079169585,1.433279604984093
seasonal_naive_7d,14,5848.55068359375,1953.9919528236464,9451.55166015625,4567.946089825108,11.8998872756958,2.88265873917999
lightgbm_cluster_daily,28,2955.462151335003,528.2584649083229,4868.376562147669,1273.778432138303,6.546502682582007,0.8376336956520057
seasonal_naive_7d,28,5624.62509765625,1521.9186110312412,9635.0896484375,3889.222333709796,11.748352241516113,2.4103130635347645
