model,horizon_days,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,mape_std
xgboost_regularized_cluster_daily,7,2657.5732177734376,534.3941612048325,3948.78359375,960.7333069944432,6.139265346527099,0.9931443898247194
seasonal_naive_7d,7,5615.913134765625,1573.546150696282,8386.3291015625,2346.9673070680556,11.610958099365234,2.1415171094843375
xgboost_regularized_cluster_daily,14,2769.7125732421873,803.2725259199345,4508.281396484375,1942.663780950555,6.245245361328125,1.2160370177412
seasonal_naive_7d,14,5848.55068359375,1953.9919528236464,9451.55166015625,4567.946089825108,11.8998872756958,2.88265873917999
xgboost_regularized_cluster_daily,28,2933.79892578125,509.0325733092908,4813.2783203125,1219.5586486030404,6.823392677307129,0.8438996614093197
seasonal_naive_7d,28,5624.62509765625,1521.9186110312412,9635.0896484375,3889.222333709796,11.748352241516113,2.4103130635347645
