fold,train_end_date,eval_end_date,train_mae,eval_mae_max_horizon,mae_gap,train_rmse,eval_rmse_max_horizon,rmse_gap
1,2017-01-31,2017-03-10,1794.5142822265625,3223.77685546875,1429.2625732421875,2990.6005859375,5282.98583984375,2292.38525390625
2,2017-03-10,2017-04-19,1816.4822998046875,3025.22705078125,1208.7447509765625,3017.79931640625,4995.484375,1977.68505859375
3,2017-04-19,2017-05-29,1833.7880859375,3370.995849609375,1537.207763671875,3042.184326171875,6054.90576171875,3012.721435546875
4,2017-05-29,2017-07-06,1840.6383056640625,2543.707763671875,703.0694580078125,3047.697265625,3660.96533203125,613.26806640625
5,2017-07-06,2017-08-15,1852.0078125,2436.0078125,584.0,3053.92724609375,3628.86962890625,574.9423828125
