feature,importance
avg_store_transactions,4043
day_of_month,3064
oil_price,2906
rolling_mean_7,2625
promo_rate,2456
lag_14,2256
lag_7,2121
rolling_std_28,2039
week_of_year,2021
lag_28,1816
rolling_mean_28,1632
cluster,1239
day_of_week,1128
month,1035
holiday_rate,468
is_month_end,97
is_month_start,54
