model,horizon_days,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,mape_std
sarimax_cluster_daily,7,2261.6788203584765,1021.830006812781,2691.779430978337,1045.0055320328488,5.677279459470208,2.3980373219942366
seasonal_naive_7d,7,5615.913134765625,1573.546150696282,8386.3291015625,2346.9673070680556,11.610958099365234,2.1415171094843375
sarimax_cluster_daily,14,2525.0913478827642,810.4107153633063,3286.7396631476927,1027.614066913234,6.371447062686877,2.1226418044596524
seasonal_naive_7d,14,5848.55068359375,1953.9919528236464,9451.55166015625,4567.946089825108,11.8998872756958,2.88265873917999
sarimax_cluster_daily,28,2905.173348257455,764.5127155026729,3656.691449974916,1143.0427163221245,7.239949019784669,1.6394505274924154
seasonal_naive_7d,28,5624.62509765625,1521.9186110312412,9635.0896484375,3889.222333709796,11.748352241516113,2.4103130635347645
