fold,train_end_date,eval_end_date,convergence_rate,sarimax_mae_max_horizon,baseline_mae_max_horizon,mae_improvement_vs_baseline
1,2017-01-31,2017-03-10,0.9411764705882353,4464.455922117238,7177.88427734375,2713.4283552265124
2,2017-03-10,2017-04-19,0.7058823529411765,3374.1546270491103,4818.5126953125,1444.3580682633897
3,2017-04-19,2017-05-29,0.8235294117647058,2257.8975613163757,7037.40869140625,4779.511130089874
4,2017-05-29,2017-07-06,0.8235294117647058,3106.6567451528886,5034.75048828125,1928.0937431283614
5,2017-07-06,2017-08-15,0.8235294117647058,2359.323893494506,5441.10400390625,3081.780110411744
