feature,importance
rolling_mean_7,0.59680873
rolling_mean_28,0.15568893
lag_7,0.091271386
is_month_start,0.032880608
lag_14,0.022916816
day_of_month,0.01487345
avg_store_transactions,0.014629886
is_month_end,0.011250378
lag_28,0.010370677
week_of_year,0.009783336
holiday_rate,0.009424837
day_of_week,0.0066559506
month,0.00634058
rolling_std_28,0.005140093
cluster,0.004753938
oil_price,0.0037507357
promo_rate,0.0034596107
